name	CBI
NCU00004T0	0.08
NCU00005T0	0.278
NCU00006T0	0.04
NCU00014T0	0.164
NCU00015T0	0.149
NCU00018T0	0.531
NCU00021T0	0.532
NCU00024T0	0.343
NCU00028T0	0.174
NCU00030T0	0.441
NCU00032T0	0.217
NCU00037T0	0.188
NCU00040T0	0.575
NCU00042T0	0.165
NCU00043T0	0.473
NCU00045T0	0.096
NCU00046T0	0.115
NCU00050T0	0.402
NCU00051T0	0.374
NCU00057T0	0.345
NCU00059T0	0.325
NCU00064T0	0.095
NCU00065T0	0.296
NCU00068T0	0.085
NCU00070T0	0.133
NCU00072T0	0.18
NCU00077T0	0.129
NCU00078T0	0.291
NCU00080T0	0.299
NCU00087T0	0.423
NCU00088T0	0.236
NCU00089T0	0.227
NCU00090T0	0.363
NCU00095T0	0.333
NCU00101T0	0.23
NCU00102T0	0.212
NCU00103T0	0.393
NCU00104T0	0.379
NCU00106T0	0.289
NCU00107T0	0.241
NCU00109T0	0.058
NCU00112T0	0.25
NCU00114T0	0.437
NCU00116T0	0.238
NCU00117T0	0.227
NCU00122T0	0.415
NCU00124T0	0.016
NCU00127T0	0.09
NCU00132T0	0.101
NCU00133T0	0.25
NCU00134T0	0.261
NCU00135T0	0.179
NCU00137T0	0.615
NCU00147T0	0.386
NCU00150T0	0.351
NCU00151T0	0.248
NCU00152T0	0.147
NCU00153T0	0.688
NCU00154T0	0.214
NCU00155T0	0.076
NCU00157T0	0.19
NCU00158T0	0.242
NCU00160T0	0.474
NCU00161T0	0.111
NCU00162T0	0.451
NCU00168T0	0.582
NCU00169T0	0.425
NCU00170T0	0.307
NCU00171T0	0.163
NCU00172T0	0.154
NCU00173T0	0.389
NCU00177T0	0.5
NCU00178T0	0.178
NCU00182T0	0.332
NCU00183T0	0.29
NCU00184T0	0.06
NCU00188T0	0.089
NCU00193T0	0.264
NCU00194T0	0.405
NCU00196T0	0.073
NCU00199T0	0.253
NCU00200T0	0.472
NCU00202T0	0.51
NCU00203T0	0.169
NCU00209T0	0.228
NCU00210T0	0.35
NCU00211T0	0.569
NCU00212T0	0.802
NCU00213T0	0.03
NCU00214T0	0.492
NCU00215T0	0.13
NCU00216T0	0.519
NCU00219T0	0.2
NCU00220T0	0.258
NCU00222T0	0.298
NCU00223T0	0.11
NCU00225T0	0.765
NCU00226T0	0.26
NCU00227T0	0.405
NCU00232T0	0.317
NCU00236T0	0.275
NCU00237T0	0.186
NCU00239T0	0.199
NCU00240T0	0.06
NCU00241T0	0.126
NCU00242T0	0.099
NCU00243T0	0.62
NCU00257T0	0.292
NCU00258T0	0.789
NCU00260T0	0.409
NCU00261T0	0.663
NCU00263T0	0.547
NCU00269T0	0.254
NCU00272T0	0.249
NCU00273T0	0.279
NCU00274T0	0.13
NCU00277T0	0.374
NCU00278T0	0.142
NCU00280T0	0.263
NCU00287T0	0.19
NCU00289T0	0.195
NCU00291T0	0.005
NCU00293T0	0.162
NCU00294T0	0.745
NCU00295T0	0.212
NCU00299T0	0.298
NCU00300T0	0.133
NCU00302T0	0.168
NCU00303T0	0.176
NCU00304T0	0.106
NCU00311T0	0.284
NCU00315T0	0.654
NCU00316T0	0.311
NCU00320T0	0.102
NCU00325T0	0.087
NCU00326T0	0.356
NCU00329T0	0.085
NCU00334T0	0.228
NCU00335T0	0.271
NCU00336T0	0.44
NCU00340T0	0.332
NCU00346T0	0.2
NCU00347T0	0.106
NCU00348T0	0.254
NCU00349T0	0.104
NCU00350T0	0.27
NCU00352T0	0.297
NCU00355T0	0.612
NCU00358T0	0.176
NCU00359T0	0.212
NCU00360T0	0.261
NCU00364T0	0.142
NCU00365T0	0.465
NCU00366T0	0.615
NCU00369T0	0.178
NCU00371T0	0.451
NCU00372T0	0.258
NCU00376T0	0.214
NCU00378T0	0.321
NCU00379T0	0.358
NCU00385T0	0.665
NCU00388T0	0.167
NCU00389T0	0.417
NCU00392T0	0.006
NCU00395T0	0.29
NCU00396T0	0.212
NCU00397T0	0.346
NCU00398T0	0.052
NCU00399T0	0.719
NCU00400T0	0.204
NCU00405T0	0.587
NCU00406T0	0.311
NCU00409T0	0.167
NCU00410T0	0.527
NCU00411T0	0.316
NCU00413T0	0.729
NCU00414T0	0.583
NCU00415T0	0.199
NCU00417T0	0.444
NCU00418T0	0.347
NCU00420T0	0.113
NCU00421T0	0.126
NCU00422T0	0.621
NCU00424T0	0.199
NCU00426T0	0.054
NCU00427T0	0.128
NCU00430T0	0.178
NCU00431T0	0.563
NCU00432T0	0.088
NCU00434T0	0.178
NCU00435T0	0.173
NCU00436T0	0.28
NCU00440T0	0.301
NCU00443T0	0.703
NCU00444T0	0.457
NCU00446T0	0.386
NCU00450T0	0.201
NCU00451T0	0.249
NCU00454T0	0.052
NCU00455T0	0.11
NCU00456T0	0.322
NCU00457T0	0.468
NCU00458T0	0.114
NCU00459T0	0.154
NCU00461T0	0.364
NCU00463T0	0.286
NCU00464T0	0.697
NCU00465T0	0.483
NCU00466T0	0.293
NCU00467T0	0.235
NCU00469T0	0.12
NCU00470T0	0.128
NCU00472T0	0.242
NCU00475T0	0.784
NCU00476T0	0.342
NCU00477T0	0.536
NCU00480T0	0.164
NCU00481T0	0.192
NCU00483T0	0.179
NCU00484T0	0.337
NCU00486T0	0.098
NCU00487T0	0.17
NCU00488T0	0.258
NCU00489T0	0.786
NCU00490T0	0.184
NCU00493T0	0.376
NCU00494T0	0.102
NCU00495T0	0.184
NCU00497T0	0.109
NCU00498T0	0.191
NCU00502T0	0.704
NCU00505T0	0.346
NCU00513T0	0.313
NCU00515T0	0.075
NCU00518T0	0.211
NCU00519T0	0.449
NCU00520T0	0.353
NCU00521T0	0.294
NCU00522T0	0.34
NCU00523T0	0.306
NCU00527T0	0.519
NCU00528T0	0.114
NCU00536T0	0.174
NCU00537T0	0.254
NCU00538T0	0.046
NCU00541T0	0.277
NCU00549T0	0.249
NCU00550T0	0.091
NCU00551T0	0.217
NCU00552T0	0.356
NCU00553T0	0.117
NCU00554T0	0.544
NCU00556T0	0.209
NCU00560T0	0.308
NCU00562T0	0.333
NCU00564T0	0.543
NCU00565T0	0.34
NCU00567T0	0.622
NCU00570T0	0.359
NCU00571T0	0.264
NCU00573T0	0.25
NCU00575T0	0.454
NCU00576T0	0.124
NCU00577T0	0.101
NCU00578T0	0.186
NCU00579T0	0.338
NCU00580T0	0.342
NCU00581T0	0.053
NCU00582T0	0.185
NCU00584T0	0.26
NCU00585T0	0.241
NCU00586T0	0.404
NCU00587T0	0.156
NCU00590T0	0.298
NCU00591T0	0.316
NCU00593T0	0.287
NCU00595T0	0.13
NCU00596T0	0.129
NCU00597T0	0.25
NCU00598T0	0.176
NCU00599T0	0.167
NCU00602T0	0.16
NCU00604T0	0.238
NCU00605T0	0.376
NCU00609T0	0.188
NCU00611T0	0.16
NCU00614T0	0.293
NCU00617T0	0.257
NCU00618T0	0.777
NCU00619T0	0.18
NCU00621T0	0.119
NCU00622T0	0.094
NCU00624T0	0.276
NCU00627T0	0.4
NCU00628T0	0.312
NCU00629T0	0.413
NCU00631T0	0.124
NCU00633T0	0.171
NCU00634T0	0.769
NCU00635T0	0.682
NCU00636T0	0.733
NCU00643T0	0.493
NCU00644T0	0.666
NCU00649T0	0.292
NCU00650T0	0.344
NCU00654T0	0.068
NCU00655T0	0.213
NCU00656T0	0.261
NCU00658T0	0.176
NCU00659T0	0.227
NCU00660T0	0.136
NCU00665T0	0.252
NCU00668T0	0.19
NCU00669T0	0.412
NCU00670T0	0.305
NCU00671T0	0.161
NCU00673T0	0.58
NCU00675T0	0.277
NCU00676T0	0.374
NCU00678T0	0.315
NCU00680T0	0.712
NCU00681T0	0.194
NCU00682T0	0.189
NCU00684T0	0.055
NCU00685T0	0.57
NCU00687T0	0.312
NCU00690T0	0.084
NCU00692T0	0.715
NCU00693T0	0.29
NCU00694T0	0.184
NCU00695T0	0.247
NCU00696T0	0.243
NCU00706T0	0.788
NCU00707T0	0.446
NCU00712T0	0.417
NCU00713T0	0.331
NCU00714T0	0.536
NCU00715T0	0.132
NCU00716T0	0.469
NCU00720T0	0.404
NCU00722T0	0.135
NCU00725T0	0.308
NCU00726T0	0.691
NCU00727T0	0.255
NCU00732T0	0.193
NCU00737T0	0.35
NCU00738T0	0.099
NCU00741T0	0.199
NCU00742T0	0.444
NCU00743T0	0.318
NCU00744T0	0.309
NCU00766T0	0.59
NCU00768T0	0.5
NCU00770T0	0.166
NCU00771T0	0.288
NCU00772T0	0.105
